dataset,seq_len,pred_len,model,norm,alpha,seed,MSE,MAE,RMSE,MAPE,MSPE,dish_init,scaled,prior,features,timestamp
ETTm2,168,168,Autoformer,dishts,0.5,2024,14.06539,2.39355,3.75038,10853791.0,5349379600000000.0,avg,False,paper-phi-only,M,20260615_014148
ETTm2,168,168,Autoformer,dishts,0.5,2025,13.98117,2.40569,3.73914,10641241.0,4961429700000000.0,avg,False,paper-phi-only,M,20260615_020638
ETTm2,168,168,Autoformer,dishts,1.0,2023,15.18049,2.46436,3.89621,11488404.0,6080158000000000.0,avg,False,paper-phi-only,M,20260615_021915
ETTm2,168,168,Autoformer,dishts,1.0,2024,14.5628,2.43012,3.81612,10894964.0,5541106400000000.0,avg,False,paper-phi-only,M,20260615_023151
ETTm2,168,168,Autoformer,dishts,1.0,2025,13.71144,2.37533,3.7029,8342988.5,3470515800000000.0,avg,False,paper-phi-only,M,20260615_025639
ETTm2,336,336,Autoformer,dishts,0.0,2023,17.79314,2.72762,4.21819,10387619.0,4850591600000000.0,avg,False,paper-phi-only,M,20260615_032053
ETTm2,336,336,Autoformer,dishts,0.0,2024,18.50816,2.79056,4.30211,10657481.0,5186560600000000.0,avg,False,paper-phi-only,M,20260615_034509
ETTm2,336,336,Autoformer,dishts,0.0,2025,19.66848,2.87363,4.43492,9421160.0,4120328600000000.0,avg,False,paper-phi-only,M,20260615_045326
ETTm2,336,336,Autoformer,dishts,0.5,2023,18.23697,2.79938,4.27048,10978849.0,5592339000000000.0,avg,False,paper-phi-only,M,20260615_052335
ETTm2,336,336,Autoformer,dishts,0.5,2024,18.52893,2.80573,4.30452,10547418.0,5087274000000000.0,avg,False,paper-phi-only,M,20260615_060234
ETTm2,336,336,Autoformer,dishts,0.5,2025,18.2366,2.78234,4.27043,10133269.0,4422775000000000.0,avg,False,paper-phi-only,M,20260615_062653
ETTm2,336,336,Autoformer,dishts,1.0,2023,18.60965,2.81541,4.31389,10488242.0,5046180000000000.0,avg,False,paper-phi-only,M,20260615_065112
ETTm2,336,336,Autoformer,dishts,1.0,2024,18.48454,2.82113,4.29937,9898490.0,4658107300000000.0,avg,False,paper-phi-only,M,20260615_071827
ETTm2,336,336,Autoformer,dishts,1.0,2025,17.71348,2.74791,4.20874,10160194.0,4442365700000000.0,avg,False,paper-phi-only,M,20260615_074243
ETTm2,96,96,Autoformer,dishts,0.25,2023,12.18941,2.24881,3.49133,9920644.0,5133127500000000.0,avg,False,paper-phi-only,M,20260615_081036
ETTm2,96,96,Autoformer,dishts,0.0,2023,12.29042,2.24345,3.50577,10421059.0,5378739000000000.0,avg,False,paper-phi-only,M,20260615_082346
ETTm2,96,96,Autoformer,dishts,0.0,2024,11.93498,2.23177,3.4547,9945527.0,5037372000000000.0,avg,False,paper-phi-only,M,20260615_083131
ETTm2,96,96,Autoformer,dishts,0.0,2025,11.55117,2.1928,3.3987,10589960.0,5453198600000000.0,avg,False,paper-phi-only,M,20260615_084201
ETTm2,96,96,Autoformer,dishts,0.25,2023,12.18941,2.24881,3.49133,9920644.0,5133127500000000.0,avg,False,paper-phi-only,M,20260615_085039
ETTm2,96,96,Autoformer,dishts,0.25,2024,12.68042,2.29154,3.56096,9812325.0,4889415500000000.0,avg,False,paper-phi-only,M,20260615_085918
ETTm2,96,96,Autoformer,dishts,0.25,2025,14.33912,2.42819,3.7867,12118762.0,7408914700000000.0,avg,False,paper-phi-only,M,20260615_091044
ETTm2,96,96,Autoformer,dishts,0.5,2023,12.34,2.27098,3.51283,10361618.0,5397557300000000.0,avg,False,paper-phi-only,M,20260615_091826
ETTm2,96,96,Autoformer,dishts,0.5,2024,13.28558,2.35921,3.64494,9441677.0,4725248400000000.0,avg,False,paper-phi-only,M,20260615_092801
ETTm2,96,96,Autoformer,dishts,0.5,2025,11.32101,2.1528,3.36467,9966222.0,5199421000000000.0,avg,False,paper-phi-only,M,20260615_093833
ETTm2,96,96,Autoformer,dishts,0.75,2023,12.06287,2.22177,3.47316,10148260.0,5224607000000000.0,avg,False,paper-phi-only,M,20260615_094617
ETTm2,96,96,Autoformer,dishts,0.75,2024,12.63371,2.30308,3.55439,10343995.0,5433177700000000.0,avg,False,paper-phi-only,M,20260615_095400
ETTm2,96,96,Autoformer,dishts,0.75,2025,11.06556,2.13024,3.32649,10340027.0,5370803500000000.0,avg,False,paper-phi-only,M,20260615_100239
ETTm2,96,96,Autoformer,dishts,1.0,2023,11.9935,2.21915,3.46316,10304581.0,5479685000000000.0,avg,False,paper-phi-only,M,20260615_101117
ETTm2,96,96,Autoformer,dishts,1.0,2024,12.70591,2.29747,3.56454,9409810.0,4770501000000000.0,avg,False,paper-phi-only,M,20260615_101901
ETTm2,96,96,Autoformer,dishts,1.0,2025,11.11276,2.1297,3.33358,9898261.0,5149420000000000.0,avg,False,paper-phi-only,M,20260615_102835
ETTm2,168,168,Autoformer,dishts,0.0,2023,14.41901,2.43477,3.79724,11374790.0,5682024000000000.0,avg,False,paper-phi-only,M,20260615_104243
ETTm2,168,168,Autoformer,dishts,0.0,2024,13.33093,2.35607,3.65115,10356254.0,4820963400000000.0,avg,False,paper-phi-only,M,20260615_105821
ETTm2,168,168,Autoformer,dishts,0.0,2025,15.91414,2.55028,3.98925,10442405.0,4658090000000000.0,avg,False,paper-phi-only,M,20260615_111228
ETTm2,168,168,Autoformer,dishts,0.25,2023,13.58659,2.36401,3.686,11308517.0,5833910400000000.0,avg,False,paper-phi-only,M,20260615_112636
ETTm2,168,168,Autoformer,dishts,0.25,2024,13.83517,2.35832,3.71957,10500915.0,5105316000000000.0,avg,False,paper-phi-only,M,20260615_114214
ETTm2,168,168,Autoformer,dishts,0.25,2025,12.99379,2.29992,3.60469,9846469.0,4318620000000000.0,avg,False,paper-phi-only,M,20260615_121918
ETTm2,168,168,Autoformer,dishts,0.5,2023,14.21667,2.42155,3.7705,11450983.0,5988267300000000.0,avg,False,paper-phi-only,M,20260615_123326
ETTm2,168,168,Autoformer,dishts,0.5,2024,14.06539,2.39355,3.75038,10853791.0,5349379600000000.0,avg,False,paper-phi-only,M,20260615_124602
ETTm2,168,168,Autoformer,dishts,0.5,2025,13.98117,2.40569,3.73914,10641241.0,4961429700000000.0,avg,False,paper-phi-only,M,20260615_131050
ETTm2,168,168,Autoformer,dishts,0.75,2023,14.4907,2.47319,3.80667,11039517.0,5647748300000000.0,avg,False,paper-phi-only,M,20260615_132457
ETTm2,168,168,Autoformer,dishts,0.75,2024,13.67016,2.36234,3.69732,10200394.0,4975789400000000.0,avg,False,paper-phi-only,M,20260615_134035
ETTm2,168,168,Autoformer,dishts,0.75,2025,15.47171,2.47783,3.93341,12365901.0,6912311000000000.0,avg,False,paper-phi-only,M,20260615_135918
ETTm2,168,168,Autoformer,dishts,1.0,2023,15.18049,2.46436,3.89621,11488404.0,6080158000000000.0,avg,False,paper-phi-only,M,20260615_141154
ETTm2,168,168,Autoformer,dishts,1.0,2024,14.5628,2.43012,3.81612,10894964.0,5541106400000000.0,avg,False,paper-phi-only,M,20260615_142429
ETTm2,168,168,Autoformer,dishts,1.0,2025,13.71144,2.37533,3.7029,8342988.5,3470515800000000.0,avg,False,paper-phi-only,M,20260615_144914
ETTm2,336,336,Autoformer,dishts,0.0,2023,17.79314,2.72762,4.21819,10387619.0,4850591600000000.0,avg,False,paper-phi-only,M,20260615_151328
ETTm2,336,336,Autoformer,dishts,0.0,2024,18.50816,2.79056,4.30211,10657481.0,5186560600000000.0,avg,False,paper-phi-only,M,20260615_153744
ETTm2,336,336,Autoformer,dishts,0.0,2025,19.66848,2.87363,4.43492,9421160.0,4120328600000000.0,avg,False,paper-phi-only,M,20260615_164556
ETTm2,336,336,Autoformer,dishts,0.25,2023,18.28859,2.77764,4.27652,11057514.0,5608978700000000.0,avg,False,paper-phi-only,M,20260615_172455
ETTm2,336,336,Autoformer,dishts,0.25,2024,18.60901,2.85511,4.31382,9570351.0,4260410300000000.0,avg,False,paper-phi-only,M,20260615_175505
ETTm2,336,336,Autoformer,dishts,0.25,2025,18.33,2.77822,4.28136,9965860.0,4286502500000000.0,avg,False,paper-phi-only,M,20260615_181922
ETTm2,336,336,Autoformer,dishts,0.5,2023,18.23697,2.79938,4.27048,10978849.0,5592339000000000.0,avg,False,paper-phi-only,M,20260615_184934
ETTm2,336,336,Autoformer,dishts,0.5,2024,18.52893,2.80573,4.30452,10547418.0,5087274000000000.0,avg,False,paper-phi-only,M,20260615_192832
ETTm2,336,336,Autoformer,dishts,0.5,2025,18.2366,2.78234,4.27043,10133269.0,4422775000000000.0,avg,False,paper-phi-only,M,20260615_195250
